名称,请求方式,地址,说明,支持自建应用,支持商店应用,文档链接
创建数据范式,POST,/open-apis/search/v2/schemas,创建一个数据范式。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/search-v2/schema/create
删除数据范式,DELETE,/open-apis/search/v2/schemas/:schema_id,删除已存在的数据范式。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/search-v2/schema/delete
修改数据范式,PATCH,/open-apis/search/v2/schemas/:schema_id,修改数据范式。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/search-v2/schema/patch
获取数据范式,GET,/open-apis/search/v2/schemas/:schema_id,获取单个数据范式。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/search-v2/schema/get
识别文件中的简历信息,POST,/open-apis/document_ai/v1/resume/parse,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/resume/parse
识别文件中的机动车发票,POST,/open-apis/document_ai/v1/vehicle_invoice/recognize,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/vehicle_invoice/recognize
识别文件中的健康证,POST,/open-apis/document_ai/v1/health_certificate/recognize,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/health_certificate/recognize
识别文件中的港澳居民来往内地通行证,POST,/open-apis/document_ai/v1/hkm_mainland_travel_permit/recognize,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/hkm_mainland_travel_permit/recognize
识别文件中的台湾居民来往大陆通行证,POST,/open-apis/document_ai/v1/tw_mainland_travel_permit/recognize,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/tw_mainland_travel_permit/recognize
识别文件中的中国护照,POST,/open-apis/document_ai/v1/chinese_passport/recognize,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/chinese_passport/recognize
识别文件中的银行卡,POST,/open-apis/document_ai/v1/bank_card/recognize,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/bank_card/recognize
识别文件中的行驶证,POST,/open-apis/document_ai/v1/vehicle_license/recognize,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/vehicle_license/recognize
识别文件中的火车票,POST,/open-apis/document_ai/v1/train_invoice/recognize,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/train_invoice/recognize
识别文件中的出租车发票,POST,/open-apis/document_ai/v1/taxi_invoice/recognize,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/taxi_invoice/recognize
识别文件中的身份证,POST,/open-apis/document_ai/v1/id_card/recognize,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/id_card/recognize
识别文件中的食品生产许可证,POST,/open-apis/document_ai/v1/food_produce_license/recognize,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/food_produce_license/recognize
识别文件中的食品经营许可证,POST,/open-apis/document_ai/v1/food_manage_license/recognize,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/food_manage_license/recognize
识别文件中的驾驶证,POST,/open-apis/document_ai/v1/driving_license/recognize,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/driving_license/recognize
识别文件中的增值税发票,POST,/open-apis/document_ai/v1/vat_invoice/recognize,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/vat_invoice/recognize
识别文件中的营业执照,POST,/open-apis/document_ai/v1/business_license/recognize,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/business_license/recognize
提取文件中的合同字段,POST,/open-apis/document_ai/v1/contract/field_extraction,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/contract/field_extraction
识别文件中的名片,POST,/open-apis/document_ai/v1/business_card/recognize,名片识别接口，通过上传 JPG / PNG / PDF 等文件类型进行一次性的名片识别。接口适用于20MB以下的文件，适用于英文、日语的名片。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/document_ai-v1/business_card/recognize
识别图片中的文字,POST,/open-apis/optical_char_recognition/v1/image/basic_recognize,可识别图片中的文字，按图片中的区域划分，分段返回文本列表。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/ai/optical_char_recognition-v1/image/basic_recognize
